number,short_description,kb_category,meta
KB0017561,Software - Office 365 not updating,Office,"KCS, office 365 update, monthly update, office not sync, office 365, semi-anual, office 2016, office, one drive, sync"
KB0017105,Outlook - Asked to Authenticate an Unfamiliar Email,Outlook,"KCS, exchange, outlook, authenticate, unknown, email, autodiscover, password, mailbox, folder, shared, mailbox, setup, unusual, unsafe, safe, aked, unfamiliar, "
KB0016601,Cannot Access TAMU Library Databases,Enrolled Student,"KCS, tamu, library, database, databases, cannot, access, unable, cant, can't, not, able, netid, ezproxy, server, "
KB0014679,Need Guest Wireless Accounts,Networking,"KCS, guest accounts, guest wireless, guest wifi, "
KB0016571,Parental Access to MealPlan Information,General,"KCS, mealplans, mealplan, meal, plan, info, information, parent, parental, access, log, in, on, logon, login, add, dining, dollars, student, account, howdy, "
KB0017827,Who Can Access FileX,"Access, Accounts, and ID","KCS, filex, access, file, distribution, affiliation, "
KB0017647,Syncplicity - Account Not Recognized,Syncplicity,"KCS, syncplicity, account, recognized, not, sync, issue, email, address"
KB0018123,CAS Website Update,Web Applications,"cas, cas website, website broken, broken link, used to work, link not working, website not working, cant find website, https, http, cant login"
KB0017694,TAMUCT - Unable to Log In to Scholarship Portal,TAMUCT,"KCS, tamuct, tamu central texas, account, scholarship, scholarship portal, unable to log in, can't log in, cannot log in"
KB0017017,Labview/Multisim Not Opening on Computer,Software,"KCS, labview, multisim, lab, view, found, msvcp140.dll, repair, reinstall, not, opening, open, computer, opening, "
KB0017401,Fixing Line Breaks in an Old Document,General,"KCS, word, section, breaks, document, old, format, random, "
KB0017735,Google Sites - Website Disabled,Other Tech Support,"KCS, google sites, google, site, website, google website, website disabled"
KB0017691,"Howdy - Locked Out (""You have had too many attempts to register for this term..."")",Howdy,"KCS, You have had too many attempts to register for this term, please contact the registrar for assistance, howdy, locked out, locked out of howdy, can't register, course registration, registration"
KB0017142,"VOAL - Account Locked (""Excessive authentication failures..."")",VOAL,"KCS, VOAL, account_locked, excessive login attempts, excessive_login_attempts, soft_lock, excessive_authentication_failures, VMware Horizon Client"
KB0017345,MATLAB - Unable to Access Local Files on VOAL,Software,"KCS, MATLAB, voal, local files, access files"
KB0018626,Visitor Accounts,WiFi,"KCS, visitor wifi, visitor account"
KB0017573,Exchange - Regain Access ,Exchange,"KCS, exchange, account, former, employee, staff, faculty, email, regain, access, "
KB0016550,Gateway - Cannot Claim NetID ,Applicant,"KCS, can't_claim_netid, unable_to_claim_netid, error_when_claiming_netid, trying_to_claim_netid, help_claiming_netid"
KB0017668,Remote in to Departmental Computer,Other Tech Support,"KCS, remote, departmental, computer, lab, connect, "
KB0016093,Cannot complete remote desktop connection.,Software,"KCS, remote, desktop, unable, to, connect, log, in, failed, to, autheticate, work, station,"
KB0016244,Unable to Remote into Work Comptuer,Other Tech Support,"KCS, unable to remote into work computer, remote, remote desktop, unable to use remote desktop connection, remote desktop connection, remote into computer, remote in to computer, remote access issues, remote access, cannot remote into work computer, trouble using remote desktop connection, cannot remote into work computer, "
KB0016100,TAMU Gmail - Email Alias,Gmail,"gmail, tamu, email alias, netid nickname, how to add alias, how to add nickname, alias, add email alias, add a different email, "
KB0019578,Duo Bypass Code Life,Duo,"KCS, duo, bypass, code, life, duo bypass code, last, longevity, "
KB0016417,Library Resources - Access,Teaching and Classroom Technology,"KCS, Library databases, off campus library resources, library resources, library resources permissions, "
KB0015932,Outlook Mailbox has been Temporarily Moved,Outlook,"KCS, outlook_mailbox_moved, mailbox_moved_in_outlook, moved_outlook_mailbox, outlook_moved_mailbox"
KB0017540,"Outlook - Unable to Add Exchange Account (""...cannot be matched to a name in the address list."")",Outlook,"KCS, outlook, outlook 2016, exchange, tamu exchange, the name cannot be matched to a name in the address list, can't add exchange account, unable to add exchange account, can't add profile, can't add email, exchange email, exchange mail"
KB0020167,Outlook - Cannot Open Outlook Window/Files/Folders,Outlook,"KCS,outlook,cannot open the outlook window,window,exchange,folders,password box,continuous"
KB0016972,Outlook - Unable to Log In to Exchange Email,Outlook,"KCS, unable_to_login_outlook, unable_to_log_in_outlook, unable_to_login_to_outlook, unable_to_log_in_to_outlook, error_logging_in_to_outlook"
